date,asin,sku,title,sessions,page_views,sales_rank,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-13,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1152,1548,1531,164,177863.84,8,8676.28,38364.75,1531,72469.02,105394.82,2302,In Stock,164.0,14.0
2026-08-14,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1272,1710,1386,181,196563.34,10,10859.85,39442.27,1386,76764.39,119798.95,1643,In Stock,166.4,9.9
2026-08-15,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1214,1631,1497,173,189583.6,9,9862.73,37670.87,1497,72583.74,116999.86,1460,In Stock,167.7,8.7
2026-08-16,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1412,1897,1280,201,221831.43,10,11036.39,44261.99,1280,83941.76,137889.67,1179,In Stock,173.0,6.8
2026-08-17,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1570,2109,1186,224,250823.87,10,11197.49,49900.1,1186,92119.25,158704.62,938,In Stock,181.6,5.2
2026-08-18,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1540,2070,1141,220,236718.33,10,10759.92,49925.65,1141,92711.41,144006.92,717,In Stock,189.6,3.8
2026-08-19,B08M4W3V33,SLP-SHR-03,Sleepsia Adjustable Shredded Memory Foam Pillow for Sleeping,1605,2156,1171,229,250788.63,12,13141.76,50151.89,1171,95153.02,155635.61,483,In Stock,198.9,2.4
2026-08-06,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2168,114,69606.2,5,3052.9,13072.9,2168,26077.92,43528.28,2781,In Stock,114.0,24.4
2026-08-07,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2343,114,67859.41,4,2381.03,14045.63,2343,26074.1,41785.31,2673,In Stock,114.0,23.4
2026-08-08,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2337,114,67771.73,5,2972.44,13352.9,2337,26229.51,41542.22,2463,In Stock,114.0,21.6
2026-08-09,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2236,114,67438.45,5,2957.83,13769.66,2236,25209.8,42228.65,2335,In Stock,114.0,20.5
2026-08-10,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2304,114,68484.01,4,2402.95,13363.72,2304,26701.8,41782.21,2253,In Stock,114.0,19.8
2026-08-11,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2218,114,68672.06,5,3011.93,13402.21,2218,25735.05,42937.01,1995,In Stock,114.0,17.5
2026-08-12,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2278,114,70375.0,4,2469.3,13463.48,2278,24943.51,45431.49,1925,In Stock,114.0,16.9
2026-08-13,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2467,114,68760.91,5,3015.83,13907.92,2467,25173.12,43587.79,1781,In Stock,114.0,15.6
2026-08-14,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,806,1116,2270,114,68169.64,4,2391.92,13951.29,2270,25050.51,43119.13,1665,In Stock,114.0,14.6
2026-08-15,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,887,1228,2028,125,76373.6,5,3054.94,14396.5,2028,28786.68,47586.92,1459,In Stock,115.6,12.6
2026-08-16,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,1025,1419,1789,145,86517.52,5,2983.36,16342.31,1789,32993.31,53524.21,1280,In Stock,120.0,10.7
2026-08-17,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,882,1220,2163,124,72835.94,4,2349.55,15105.84,2163,27929.81,44906.13,1150,In Stock,121.4,9.5
2026-08-18,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,1003,1388,1878,141,83124.38,7,4126.74,17385.94,1878,32318.66,50805.72,977,In Stock,125.3,7.8
2026-08-19,B08T4U3W77,SLP-TRV-07,Sleepsia Memory Foam Neck Travel Pillow with Velvet Cover,1110,1536,1647,157,94964.74,6,3629.23,19220.09,1647,36630.98,58333.76,805,In Stock,131.4,6.1
